OBJECTID,NAME_PY,NAME_CH,NAME_FT,X_COORD,Y_COORD,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,LEV2_PY,LEV2_CH,CNTY_PY,CNTY_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE
805,Dingxiang Xian,定襄县,定襄縣,112.943771,38.492691,山西定襄县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Xin Zhou,忻州,,,120011,POINT,121827,FROM_AC,,孟刚,满志敏,2004/04/05
806,Wutai Xian,五台县,五臺縣,113.259209,38.719177,山西五台县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Dai Zhou,代州,,,120011,POINT,121828,FROM_AC,,孟刚,满志敏,2004/04/05
807,Fanzhi Xian,繁峙县,繁峙縣,113.271812,39.190063,山西繁峙县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Dai Zhou,代州,,,120011,POINT,121829,FROM_AC,,孟刚,满志敏,2004/04/05
808,Yangqu Xian,阳曲县,陽曲縣,112.564827,37.873753,山西太原市市治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Taiyuan Fu,太原府,,,120011,POINT,121830,FROM_AC,,孟刚,满志敏,2004/04/05
809,Taiyuan Xian,太原县,太原縣,112.478928,37.727589,山西太原市晋源镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Taiyuan Fu,太原府,,,120011,POINT,121831,FROM_AC,,孟刚,满志敏,2004/04/05
810,Xugou Xian,徐沟县,徐溝縣,112.508995,37.557182,山西清徐县徐沟镇,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Taiyuan Fu,太原府,,,120011,POINT,121832,FROM_AC,,孟刚,满志敏,2004/04/05
811,Jiaocheng Xian,交城县,交城縣,112.156273,37.544411,山西交城县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Taiyuan Fu,太原府,,,120011,POINT,121833,FROM_AC,,孟刚,满志敏,2004/04/05
812,Wenshui Xian,文水县,文水縣,112.024185,37.436981,山西文水县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Taiyuan Fu,太原府,,,120011,POINT,121834,FROM_AC,,孟刚,满志敏,2004/04/05
813,Fenyang Xian,汾阳县,汾陽縣,111.779030,37.263405,山西汾阳县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Fenzhou Fu,汾州府,,,120011,POINT,121835,FROM_AC,,孟刚,满志敏,2004/04/05
814,Pingyao Xian,平遥县,平遙縣,112.177597,37.207260,山西平遥县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Fenzhou Fu,汾州府,,,120011,POINT,121836,FROM_AC,,孟刚,满志敏,2004/04/05
815,Xiaoyi Xian,孝义县,孝義縣,111.782768,37.143234,山西孝义县县治,Xian,县,6,1911,9,1911,9,Qingchao,清朝,Shanxi,山西,Fenzhou Fu,汾州府,,,120011,POINT,121837,FROM_AC,,孟刚,满志敏,2004/04/05
