FID_,OBJECTID,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,DYN_PY,DYN_CH,LEV1_PY,LEV1_CH,LEV2_PY,LEV2_CH,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,X_COORD,Y_COORD,AREA
,94,Songjiang Fu,松江府,松江府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Jiangsu,江苏, , ,120001,POLYGON,195195,FROM_FD,满志敏,满志敏, ,2002/09/10,121.408996,31.032300,4333.859375
,95,Huzhou Fu,湖州府,湖州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江, , ,120008,POLYGON,195196,FROM_FD,满志敏,满志敏, ,2002/07/25,119.888000,30.760099,6311.039062
,96,Jiaxing Fu,嘉兴府,嘉興府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江, , ,120008,POLYGON,195197,FROM_FD,满志敏,满志敏, ,2002/07/25,120.791000,30.698999,3334.813720
,97,Hangzhou Fu,杭州府,杭州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江, , ,120008,POLYGON,195198,FROM_FD,满志敏,满志敏, ,2002/07/25,119.736000,30.208499,7689.298339
,98,Yanzhou Fu,严州府,嚴州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江, , ,120008,POLYGON,195199,FROM_FD,满志敏,满志敏, ,2002/10/15,119.158996,29.621900,8710.562500
,99,Wenzhou Fu,温州府,溫州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江, , ,120008,POLYGON,195200,FROM_FD,满志敏,满志敏, ,2002/06/23,120.470001,27.916900,11599.985351
,100,Chuzhou Fu,处州府,處州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江, , ,120008,POLYGON,195201,FROM_FD,满志敏,满志敏, ,2002/06/23,119.524002,28.215299,18638.822265
,101,Shunde Fu,顺德府,順德府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,120009,POLYGON,195204,FROM_FD,满志敏,满志敏, ,2002/06/10,114.512001,37.132801,6507.833007
,102,Zhao Zhou,赵州,趙州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,120009,POLYGON,195205,FROM_FD,满志敏,满志敏, ,2002/06/10,114.747001,37.564998,3574.064208
,103,Ji Zhou,冀州,冀州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,120009,POLYGON,195206,FROM_FD,满志敏,满志敏, ,2002/06/10,115.610000,37.540500,4507.143066
,104,Shen Zhou,深州,深州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,120009,POLYGON,195207,FROM_FD,满志敏,满志敏, ,2002/06/10,115.644996,38.070598,2778.979248
,105,Hejian Fu,河间府,河間府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,120009,POLYGON,195208,FROM_FD,满志敏,满志敏, ,2002/06/10,116.309997,38.085601,9948.113281
,106,Baoding Fu,保定府,保定府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,120009,POLYGON,195209,FROM_FD,满志敏,满志敏, ,2002/06/10,115.490997,38.783298,11148.948242
,107,Ding Zhou,定州,定州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,120009,POLYGON,195210,FROM_FD,满志敏,满志敏, ,2002/06/10,114.904998,38.519199,2603.633300
,108,Zhengding Fu,正定府,正定府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,120009,POLYGON,195211,FROM_FD,满志敏,满志敏, ,2002/06/10,114.304000,38.312999,14154.234375
,109,Shuntian Fu,顺天府,順天府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,120009,POLYGON,195213,FROM_FD,满志敏,满志敏, ,2002/06/10,116.699996,39.731800,26182.345703
,110,Yi Zhou,易州,易州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,120009,POLYGON,195214,FROM_FD,满志敏,满志敏, ,2002/06/10,115.089996,39.379901,6798.164550
,111,Xuanhua Fu,宣化府,宣化府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,120009,POLYGON,195215,FROM_FD,满志敏,满志敏, ,2002/06/10,115.158996,40.409400,20702.490234
,112,Zunhua Zhou,遵化州,遵化州, ,Zhilizhou,直隶州,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,240018,POLYGON,195216,FROM_FD,满志敏,满志敏, ,2002/06/10,117.883003,39.990100,9153.263671
,113,Yongping Fu,永平府,永平府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhili,直隶, , ,120009,POLYGON,195217,FROM_FD,满志敏,满志敏, ,2002/06/10,118.911003,40.015399,17757.052734
,114,Quzhou Fu,衢州府,衢州府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江, , ,120008,POLYGON,195218,FROM_FD,孟刚,孟刚,满志敏,2003/05/22,118.677001,28.934600,9001.708007
,115,Jinhua Fu,金华府,金華府, ,Fu,府,3,1911,9,1911,9,Qingchao,清朝,Zhejiang,浙江, , ,120008,POLYGON,195219,FROM_FD,孟刚,孟刚,满志敏,2003/05/22,119.955001,29.158800,9993.033203
